Id,date,region,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,ovd,place,number_of_detentions,links
128,04.10.2013,Москва,не согласовано,Unauthorised,акция,Direct action,другое,Other,Другая Россия,Other Russia,"В годовщину расстрела Белого дома активисты ""Другой России"" развернули у Госдумы баннер ""Не забудем, не простим!"", а также призвали к бойкоту выборов.",,ОВД Тверской,Охотный ряд,8,"http://ovdinfo.org/express-news/2013/10/04/zaderzhannye-u-gosdumy-drugorossy-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/10/04/u-gosdumy-zaderzhany-8-drugrossov"
129,06.10.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Оргкомитет протестных действий,,"На площади Революции в Москве прошла акция в поддержку фигурантов ""Болотного дела"". Это традиционная акция по 6-м числам месяца: ""Каждый месяц шестого числа мы выходим на Красную площадь, чтобы выразить солидарность с теми, кто сегодня преследуется по так называемому ""Болотному делу"", сообщают организаторы. Место - Красная или Манежная площадь. Если их перекроют, мы пойдем на площадь Революции. Сбор у памятника Жукову в 19 часов"".",,ОВД Китай-город,площадь Революции,7,"http://ovdinfo.org/express-news/2013/10/06/zaderzhannyh-na-akcii-v-podderzhku-uznikov-bolotnoy-otpustili-iz-policii, http://ovdinfo.org/express-news/2013/10/06/na-mitinge-v-podderzhku-politzaklyuchennyh-nachalis-zaderzhaniya"
130,06.10.2013,Москва,не согласовано,Unauthorised,акция,Direct action,ЛГБТ,LGBTQ,другое,Other,"На Арбате ЛГБТ-активисты провели акцию против законопроекта депутата Журавлева, который предполагает отъем детей у родителей нетрадиционной сексуальной ориентации",,ОВД Арбат,Старый Арбат,4,"http://ovdinfo.org/express-news/2013/10/07/ildar-dadin-na-svobode, http://ovdinfo.org/express-news/2013/10/07/ildara-dadina-obvinyayut-v-narushenii-stati-193-koap-rf, http://ovdinfo.org/express-news/2013/10/07/sud-nad-zaderzhannymi-6-oktyabrya-lgbt-aktivistami, http://ovdinfo.org/express-news/2013/10/06/vse-zaderzhannye-na-lgbt-akcii-ostayutsya-nochevat-v-policii, http://ovdinfo.org/express-news/2013/10/06/posle-zaderzhaniya-policiey-lgbt-aktivist-gospitalizirovan, http://ovdinfo.org/express-news/2013/10/06/na-arbate-zaderzhany-lgbt-aktivisty-vystupivshie-protiv-zakona-zhuravleva"
131,08.10.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Приговор Михаилу Косенко,,ОВД Замоскворечье,"Замоскворецкий районный суд, Татарская улица, 1, зал 219.",9,"http://ovdinfo.org/express-news/2013/10/09/rezultaty-sudov-nad-zaderzhannymi-nakanune-aktivistami, http://ovdinfo.org/express-news/2013/10/09/zaderzhannyh-iz-ovd-zamoskvoreche-otpravlyayut-v-sud, http://ovdinfo.org/express-news/2013/10/09/sergeya-mohnatkina-privezli-nazad-v-ovd-zamoskvoreche, http://ovdinfo.org/express-news/2013/10/09/elena-malko-vyshla-na-svobodu, http://ovdinfo.org/express-news/2013/10/08/sergeya-mohnatkina-uvezli-na-skoroy-iz-ovd-zamoskvoreche, http://ovdinfo.org/express-news/2013/10/08/chast-zaderzhannyh-otpushchena-iz-ovd-zamoskvoreche, http://ovdinfo.org/express-news/2013/10/08/iz-ovd-zamoskvoreche-ne-vypuskayut-zaderzhannyh, http://ovdinfo.org/express-news/2013/10/08/olga-mazurova-takzhe-zaderzhana-u-ovd-zamoskvoreche, http://ovdinfo.org/express-news/2013/10/08/shestero-aktivistov-prishedshih-podderzhat-zaderzhannyh-ranee-u-suda-k-ovd, http://ovdinfo.org/express-news/2013/10/08/po-utochnennym-dannym-zaderzhannyh-u-zamoskvoreckogo-suda-vezut-v-ovd, http://ovdinfo.org/express-news/2013/10/08/zaderzhannyh-u-zamoskvoreckogo-raysuda-privezli-k-ovd-taganskoe, http://ovdinfo.org/express-news/2013/10/08/zamoskvoreckiy-sud-priznal-vinu-kosenko, http://ovdinfo.org/express-news/2013/10/08/zaderzhaniya-u-zamoskvoreckogo-suda-prodolzhayutsya, http://ovdinfo.org/express-news/2013/10/08/u-zamoskvoreckogo-suda-nachalis-zaderzhaniya, http://ovdinfo.org/express-news/2013/10/07/zavtra-prigovor-mihailu-kosenko"
132,08.10.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Приговор Михаилу Косенко: поддержка у ОВД,,ОВД Замоскворечье,"улица Пятницкая, 49 строение 1, Москва, Россия, 125009",7,http://ovdinfo.org/express-news/2013/10/08/olga-mazurova-takzhe-zaderzhana-u-ovd-zamoskvoreche
133,15.10.2013,Москва,не согласовано,Unauthorised,акция,Direct action,экология,Environmental,Альянс защиты животных,Alliance For Animals,"Зоозащитники провели акцию у Московской Соборной мечети во время мусульманского праздника Курбан-байрам, потребовав гуманного обращения к животным.",,4-й отдел полиции УВД на Московском метрополитене,"Москва, Выползов пер., 7",3,"http://ovdinfo.org/express-news/2013/10/15/zoozashchitniki-otpushcheny-na-svobodu, http://ovdinfo.org/express-news/2013/10/15/v-moskve-zaderzhany-zoozashchitniki"
134,17.10.2013,Москва,не согласовано,Unauthorised,акция,Direct action,другое,Other,другое,Other,"Байкеры потребовали освобождения Юрия Некрасова, обвиняемого в убийстве Валерия Родителева, представителя ""Ночных волков"" в Зеленограде. Сторонники Некрасова провели акцию на Садовом кольце.",,ОВД Арбат,Зубовский бульвар,3,"http://ovdinfo.org/express-news/2013/10/17/zaderzhannye-na-sadovom-kolce-baykery-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/10/17/baykery-zaderzhany-za-perekrytie-sadovogo-kolca-v-podderzhku-yuriya"
135,19.10.2013,Москва,не согласовано,Unauthorised,активист,Activist,другое,Other,другое,Other,"В Москве при выходе из станции метро ""Октябрьское поле"" задержан зоозащитник Юрий Корецких. Задержанный был доставлен в ОВД Щукинское и отпущен после взятия объяснений.",,ОВД Щукинское,"улица Маршала Бирюзова, 14",1,"http://ovdinfo.org/express-news/2013/10/19/zoozashchitnik-yuriy-koreckih-otpushchen-iz-ovd, http://ovdinfo.org/express-news/2013/10/19/v-moskve-zaderzhany-zoozashchitniki"
136,25.10.2013,Москва,не согласовано,Unauthorised,пикет,Picket,другое,Other,Другая Россия,Other Russia,"Другая Россия провела акцию с требованием национализации и пересмотра итогов приватизации возле управы района Западное Бирюлево. Активисты развернули растяжку ""Отобрать и поделить"", начали распространять листовки. ",,ОВД Бирюлево Западное,"Москва, ул. Медынская, 14б",3,"http://ovdinfo.org/express-news/2013/10/25/troih-drugorossov-zaderzhannyh-ranee-v-biryulevo-otpustili-na-svobodu, http://ovdinfo.org/express-news/2013/10/25/zaderzhannye-v-biryuleve-aktivisty-drugoy-rossii-dostavleny-v-chertanovskiy, http://ovdinfo.org/express-news/2013/10/25/troe-drugorossov-zaderzhany-na-pikete-pod-lozungom-otobrat-i-podelit"
137,31.10.2013,Москва,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегии-31 на Триумфальной площади,,"ОВД Басманный, ОВД Тверской",Триумфальная площадь,18,"http://ovdinfo.org/express-news/2013/10/31/posledniy-zaderzhannyy-vyshel-iz-basmannogo-ovd, http://ovdinfo.org/express-news/2013/10/31/pochti-vse-zaderzhannye-otpushcheny-iz-ovd-basmannoe, http://ovdinfo.org/express-news/2013/10/31/denis-petrikeev-otpushchen-na-svobodu, http://ovdinfo.org/express-news/2013/10/31/denis-petrikeev-zaderzhan-na-triumfalnoy-ploshchadi, http://ovdinfo.org/express-news/2013/10/31/17-chelovek-zaderzhano-na-strategii-31-v-moskve"
138,04.11.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,антиПутин,anti-Putin,другое,Other,"Одиночный пикет Владимира Ионова с плакатом ""Путин - позор России"" возле музея В.И. Ленина на площади Революции в Москве.",,ОВД Китай-город,площади Революции в Москве.,1,"http://ovdinfo.org/express-news/2013/11/04/vladimir-ionov-otpushchen-na-svobodu, http://ovdinfo.org/express-news/2013/11/04/na-ploshchadi-revolyucii-zaderzhan-odinochnyy-piketchik"
139,06.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,Гринпис,Greenpeace,"Активисты ""Гринпис"" на двух резиновых моторных лодках совершили несколько кругов по реке Москве возле Кремля с баннерами кампании в защиту ""Арктик30""",,линейный отдел на водном транспорте Управления на транспорте МВД России по ЦФО,Южный порт,4,http://ovdinfo.org/express-news/2013/11/07/zaderzhannyh-segodnya-aktivistov-grinpis-otpustili-na-svobodu
140,06.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,социальная,Social,Другая Россия,Other Russia,"Сторонники Другой России вышли к Испанскому посольству поддержать бастующих рабочих петербургского завода ""Антолин"", принадлежащего испанской компании",,ОВД Пресненский,"Москва, ул. Большая Никитская, 46/8",5,"http://ovdinfo.org/express-news/2013/11/06/drugorossy-zaderzhannye-u-ispanskogo-posolstva-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/11/06/pyatero-drugorossov-zaderzhany-u-posolstva-ispanii-na-akcii-v-podderzhku"
141,06.11.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Оргкомитет протестных действий,,Очередная акция Стратегии-6 в поддержку узников 6 мая,,"ОВД Замоскворечье - 4, ОВД Тверской - 10, ОВД Басманный - 3, ОВД Китай-город - 1",Манежная площадь,18,"http://ovdinfo.org/express-news/2013/11/07/vse-zaderzhannye-na-akcii-v-ramkah-strategii-6-otpushcheny, http://ovdinfo.org/express-news/2013/11/06/iz-ovd-zamoskvoreche-vypustili-zaderzhannyh, http://ovdinfo.org/express-news/2013/11/06/nadezhda-mityushkina-pomeshchena-v-kaz-ovd-tverskoy-za-otstaivanie-svoih, http://ovdinfo.org/express-news/2013/11/06/devushka-zaderzhana-za-otkaz-snyat-futbolku-s-izobrazheniem-sergeya-krivova, http://ovdinfo.org/express-news/2013/11/06/vozle-pamyatnika-zhukovu-v-moskve-zaderzhano-14-chelovek"
142,07.11.2013,Москва,не согласовано,Unauthorised,другое,Other,другое,Other,другое,Other,96-ая годовщина Октябрьской революции,,ОВД Тверской,Пушкинская площадь,6,http://ovdinfo.org/express-news/2013/11/07/6-chelovek-zaderzhano-vozle-novopushkinskogo-skvera
143,07.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,другое,Other,другое,Other,96-ая годовщина Октябрьской революции,,"ОВД Таганский - 4, ОВД Арбат - 4, ОВД Замоскворечье -3,  ОВД Хамовники - 4, ОВД Пресненский - 6, ОВД Басманный - 3.",Баррикадная,24,"http://ovdinfo.org/express-news/2013/11/07/zaderzhannye-na-barrikadnoy-dostavleny-v-ovd-presnenskiy, http://ovdinfo.org/express-news/2013/11/07/zaderzhannyh-dostavlennyh-v-ovd-presnenskiy-veroyatno-ostavyat-tam-na-noch"
144,09.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,антифа,Antifa,антифа,Antifa,75-ая годовщина Хрустальной ночи - погромов в нацистской Германии,,ОВД Китай-город,Красная площадь,4,"http://ovdinfo.org/express-news/2013/11/09/zaderzhannye-na-krasnoy-ploshchadi-aktivisty-otpushcheny-iz-ovd-kitay-gorod, http://ovdinfo.org/express-news/2013/11/09/na-krasnoy-ploshchadi-zaderzhany-chetvero"
145,10.11.2013,Москва,не согласовано,Unauthorised,пикет,Picket,другое,Other,другое,Other,Пикет против полицейского произвола,,ОВД Тверской,Страстной бульвар,1,"http://ovdinfo.org/express-news/2013/11/10/zaderzhannogo-s-kosoy-otpustili, http://ovdinfo.org/express-news/2013/11/10/zaderzhannye-nakanune-drugorossy-ostayutsya-v-ovd-do-suda"
146,10.11.2013,Москва,согласовано,Authorised,пикет,Picket,другое,Other,другое,Other,Пикет против полицейского произвола,,ОВД Тверской,Страстной бульвар,1,http://ovdinfo.org/node/7642
147,13.11.2013,Москва,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,другое,Other,Путин - позор России,,ОВД Китай-город,Манежная площадь,1,http://ovdinfo.org/node/7665
148,15.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,другое,Other,другое,Other,"Акция Петра Павленского ""Фиксация""",,ОВД Китай-город,Красная площадь,1,http://ovdinfo.org/node/7675
149,17.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,другое,Other,"Петр Фарбер, сын осужденного сельского учителя Ильи Фарбера, провел акцию за освобождение отца. Он заперся в железной клетке, закрытой на два амбарных замка, на которой было написано ""800 дней"" - срок, который Илья Фарбер уже провел в заключении.",,ОВД МГУ,Воробьевы горы,1,http://ovdinfo.org/express-news/2013/11/17/na-vorobevyh-gorah-zaderzhan-i-pozzhe-otpushchen-petr-farber
150,17.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,другое,Other,"Активисты развернули на Красной полщади поочередно три растяжки - ""Мою страну захватили враги"", ""Сопротивляйся"" и ""Всех не пересажаете""",,ОВД Китай-город,Красная площадь,7,"http://ovdinfo.org/express-news/2013/11/17/vse-zaderzhannye-na-krasnoy-ploshchadi-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/11/17/utochnenie-na-krasnoy-ploshchadi-zaderzhano-semero, http://ovdinfo.org/express-news/2013/11/17/v-ovd-kitay-gorod-po-tradicii-otobrali-telefony-u-zaderzhannyh, http://ovdinfo.org/express-news/2013/11/17/na-krasnoy-ploshchadi-zaderzhano-6-chelovek-vystupivshih-v-zashchitu"
151,18.11.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,антиПутин,anti-Putin,другое,Other,"Одиночный пикет Ильдара Дадина на Манежной площади с плакатом ""Путин - позор России"".",,ОВД Китай-город,Манежная площадь,1,"http://ovdinfo.org/express-news/2013/11/18/ildar-dadin-posle-provedeniya-profilakticheskoy-besedy-vyshel-na-svobodu, http://ovdinfo.org/express-news/2013/11/18/na-manezhnoy-ploshchadi-zaderzhan-odinochnyy-piketchik"
152,20.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,другое,Other,"Свободу Стомахину, долой статью 282!",,ОВД Китай-город,Красная площадь,5,"http://ovdinfo.org/express-news/2013/11/21/gennadiy-stroganov-i-ildar-dadin-poluchili-po-sem-sutok-aresta, http://ovdinfo.org/express-news/2013/11/20/ildar-dadin-i-gennadiy-stroganov-ostayutsya-v-ovd-kitay-gorod-do-utra, http://ovdinfo.org/express-news/2013/11/20/pyat-chelovek-zaderzhano-na-krasnoy-ploshchadi-na-pikete-v-podderzhku-borisa"
153,22.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,Оргкомитет протестных действий,,"Возле следственного изолятора ""Матросская тишина"" активисты растянули баннер со словами ""В этой тюрьме убивают Сергея Кривова"" ",,ОВД Сокольники,"Москва, ул. Матросская Тишина, 18",10,"http://ovdinfo.org/express-news/2013/11/22/zaderzhannye-u-sizo-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/11/22/10-chelovek-zaderzhany-u-sizo-matrosskaya-tishina"
154,23.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,антифа,Antifa,другое,Other,Антифашистская акция с требованиями изменения миграционной политике и отмены концлагерей для нелегальных мигрантов,,ОВД Китай-город,Манежная площадь,4,"http://ovdinfo.org/express-news/2013/11/23/zaderzhannye-na-manezhnoy-ploshchadi-otpushcheny, http://ovdinfo.org/express-news/2013/11/23/u-pamyatnika-zhukovu-zaderzhany-4-uchastnika-antifashistskoy-akcii"
155,25.11.2013,Москва,не согласовано,Unauthorised,акция,Direct action,социальная,Social,другое,Other,Гражданские активисты попытались помешать сносу здания XIX-го века,,ОВД Пресненский,"Вознесенский переулок д.11, стр.2",6,"http://ovdinfo.org/express-news/2013/11/27/troim-gradozashchitnikam-prisudili-shtrafy, http://ovdinfo.org/express-news/2013/11/25/treh-gradozashchitnikov-ostavlyayut-v-ovd-na-noch, http://ovdinfo.org/express-news/2013/11/25/s-troih-gradozashchitnikov-vzyali-obyasneniya, http://ovdinfo.org/express-news/2013/11/25/na-gradozashchitnikov-grozyat-oformit-nepovinovenie-policii, http://ovdinfo.org/express-news/2013/11/25/grazhdanskie-aktivisty-zaderzhany-pri-popytke-ostanovit-snos-istoricheskogo"
156,01.12.2013,Москва,не согласовано,Unauthorised,акция,Direct action,другое,Other,другое,Other,"Акция памяти Натальи Горбаневской с портретом и надписью ""За вашу и нашу свободу""",,ОВД Китай-город,Красная площадь,1,http://ovdinfo.org/express-news/2013/12/01/na-krasnoy-ploshchadi-zaderzhana-elena-glushko-s-portretom-natali
157,02.12.2013,Москва,не согласовано,Unauthorised,акция,Direct action,другое,Other,Солидарность,Solidarity Movement,Акция солидарности у посольства Украины в Москве ,,ОВД Пресненский,"Леонтьевский переулок, 18",11,"http://ovdinfo.org/express-news/2013/12/02/zaderzhannye-u-posolstva-ukrainy-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/12/02/zaderzhannyh-u-posolstva-ukrainy-dostavili-v-ovd, http://ovdinfo.org/express-news/2013/12/02/u-posolstva-ukrainy-zaderzhany-11-chelovek"
158,05.12.2013,Москва,не согласовано,Unauthorised,акция,Direct action,другое,Other,Партия 5 декабря,,"Во вторую годовщину митинга 5 декабря 2011 года на Чистых прудах трое членов партии ""5 декабря"" развернули баннер с логотипом партии у памятника Грибоедову",,ОВД Басманный,Чистые пруды,3,"http://ovdinfo.org/express-news/2013/12/05/zaderzhannyh-na-chistyh-prudah-otpustili-iz-ovd, http://ovdinfo.org/express-news/2013/12/05/aktivistov-partii-5-dekabrya-obvinyayut-v-narushenii-stati-202, http://ovdinfo.org/express-news/2013/12/05/v-moskve-zaderzhany-troe-aktivistov-partii-5-dekabrya"
159,06.12.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Оргкомитет протестных действий,,Акция с требованием амнистии для подсудимых по Болотному делу около Госдумы,,"ОВД Арбат - 10, ОВД Тверской - 9",Охотный ряд,19,"http://ovdinfo.org/express-news/2013/12/06/vosem-chelovek-zaderzhany-u-gosdumy, http://ovdinfo.org/express-news/2013/12/06/eshche-11-chelovek-zaderzhany-u-gosdumy"
160,06.12.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Оргкомитет протестных действий,,"Традиционное собрание в поддержку ""узников Болотной"" на Манежной площади ",,"ОВД Басманный, ОВД Якиманка, ОВД Китай-город",Манежная площадь,24,http://ovdinfo.org/express-news/2013/12/06/eshche-24-cheloveka-zaderzhano-na-akcii-v-podderzhku-uznikov-bolotnoy
161,12.12.2013,Москва,не согласовано,Unauthorised,акция,Direct action,другое,Other,Солидарность,Solidarity Movement,Акция в день Конституции,,ОВД Басманный,Пушкинская площадь,6,"http://ovdinfo.org/express-news/2013/12/12/zaderzhannye-na-akcii-v-zashchitu-konstitucii-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/12/12/zaderzhaniya-na-pushkinskoy-ploshchadi-v-den-konstitucii"
162,12.12.2013,Москва,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,Оргкомитет протестных действий,,"Акция ""Свободу узникам 6 мая"" на станции метро Комсомольская ",,1-й Отдел полиции УВД на московском метрополитене,ст. м. Комсомольская,7,"http://ovdinfo.org/express-news/2013/12/13/iz-1-ogo-otdela-po-metropolitenu-otpushcheny-vse-zaderzhannye, http://ovdinfo.org/express-news/2013/12/12/zaderzhannye-na-komsomolskoy-perevezeny-v-1-y-otdel-po-metropolitenu, http://ovdinfo.org/express-news/2013/12/12/sem-chelovek-zaderzhany-za-akciyu-v-moskovskom-metro"
163,14.12.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,другое,Other,другое,Other,Акция за свободу слова для всех,,ОВД Арбат,Гоголевский бульвар,1,http://ovdinfo.org/node/7849
164,16.12.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Оргкомитет протестных действий,,Накакануне рассмотрения проекта амнистии к 20-летию Конституции к Госдуме вышли люди чтобы потребовать освободить политических заключенных,,ОВД Тверской,Охотный ряд,16,"http://ovdinfo.org/express-news/2013/12/17/vse-zaderzhannye-u-zdaniya-gosudarstvennoy-dumy-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/12/17/dvoih-zaderzhannyh-iz-ovd-tverskoy-otpustili-bez-protokolov, http://ovdinfo.org/express-news/2013/12/16/v-tverskom-ovd-policeyskie-primenili-silu-protiv-obshchestvennogo, http://ovdinfo.org/express-news/2013/12/16/po-utochnennym-dannym-u-gosdumy-zaderzhany-16-chelovek, http://ovdinfo.org/express-news/2013/12/16/zaderzhaniya-u-gosdumy-prodolzhayutsya, http://ovdinfo.org/express-news/2013/12/16/u-dumy-zaderzhan-eshche-odin-chelovek, http://ovdinfo.org/express-news/2013/12/16/nachalis-zaderzhaniya-u-gosudarstvennoy-dumy"
165,16.12.2013,Москва,не согласовано,Unauthorised,пикет,Picket,другое,Other,другое,Other,Акция в поддержку сотрудников РИА Новости,,ОВД Хамовники,Зубовский бульвар,2,"http://ovdinfo.org/express-news/2013/12/16/dmitriy-zykov-i-igor-yasin-otpushcheny-iz-ovd, http://ovdinfo.org/express-news/2013/12/16/dvoe-chelovek-zaderzhany-na-pikete-v-podderzhku-rian"
166,19.12.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,социальная,Social,другое,Other,Одиночный пикет Веры Шиховой с требованием компенсации сыну,,ОВД Китай-город,Новая площадь,1,"http://ovdinfo.org/express-news/2013/12/19/veru-shihovu-otpustili-iz-ovd-kitay-gorod, http://ovdinfo.org/express-news/2013/12/19/u-zdaniya-administracii-prezidenta-svernut-bessrochnyy-piket"
167,19.12.2013,Москва,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,другое,Other,"Журналист Евгений Левкович и еще 22 человек из группы поддержки задержаны у здания ВТЦ, где должна состояться пресс-конференция Владимира Путина. Левкович и инициативная группа предыдущий месяц собирали подписи под прошением о широкой амнистии участникам ""Болотного дела"". Они планировали задать вопросы об этом на пресс-конференции. Задержанных доставили в ОВД Пресненское.",,ОВД Пресненское,"Москва, Краснопресненская наб., 12",22,"http://ovdinfo.org/express-news/2013/12/19/zaderzhannye-pered-press-konferenciey-putina-otpushcheny, http://ovdinfo.org/express-news/2013/12/19/22-cheloveka-zaderzhany-na-press-konferencii-putina"
