Id,date,region,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,ovd,place,number_of_detentions,links
168,31.12.2013,Москва,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,,"ОВД Пресненский - 14, ОВД Басманный - 13, Лимонов -ОВД Тверской","Москва, Триумфальная площадь",28,http://ovdinfo.org/express-news/2013/12/31/zaderzhannyh-na-triumfalnoy-nachali-otpuskat-iz-policii
169,31.12.2013,Москва,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,Солидарность,Solidarity Movement,"Акция ""Путин должен уйти""",,ОВД Хамовники,"Москва, улица Воздвиженка, 3/5С1",10,http://ovdinfo.org/node/7938
170,13.01.2013,Санкт-Петербург,не согласовано,,одиночный пикет,,другое,,другое,,"задержания по окончании одиночного пикета с плакатом «Не закроете мне рот, я — российский патриот!»",,53,"Санкт-Петербург, Комендантский проспект, 31",3,"

http://vk.com/wall-32875578_13073"
171,21.01.2013,Санкт-Петербург,не согласовано,,одиночный пикет,,другое,,другое,,активист Владимир Федин задержан в связи с просьбой члена «Единой России» проверить законность его действий,,,"Санкт-Петербург, м. Адмиралтейская",1,http://vk.com/wall-32875578_13148
172,31.01.2013,Санкт-Петербург,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31,,76,"Санкт-Петербург, м. Гостиный двор",9,"

http://vk.com/wall-32875578_13313"
173,04.02.2013,Санкт-Петербург,не согласовано,,оккупай,,социальная,,другое,,разгон сквота на территории исторического здания,,"38 (8), 77 (7), 2 (2)","Санкт-Петербург, Варшавский вокзал",19,"
http://vk.com/wall-32875578_13392"
174,31.03.2013,Санкт-Петербург,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31,,"76 (5), 28 (4)","Санкт-Петербург, м. Гостиный двор",9,http://grani.ru/Politics/Russia/activism/strategy31/m.213185.html
175,05.04.2013,Санкт-Петербург,не согласовано,,пикет,,социальная,,Другая Россия,,активисты задержаны во время произнесения речи о неравномерном распределении доходов государства,,"76 (8), 28 (8)","Санкт-Петербург, набережная Фонтанки, 70-72",15,http://www.baltinfo.ru/2013/04/05/Drugorossov-zaderzhali-za-piket-u-Banka-Rossii-v-Peterburge-346816
176,01.05.2013,Санкт-Петербург,согласовано,,прогулка,,другое,,анархисты,,Первомай,,"2 (4), 6 (8), 21 (5), 15 (10)","Санкт-Петербург, Лиговский проспект, 6",27,http://avtonom.org/news/sankt-peterburg-anarhistskiy-pervomay-2013
177,03.05.2013,Санкт-Петербург,не согласовано,,акция,,другое,,другое,," художник Петр Павленский задержан после протестной акции ""Туша""",,2,"Санкт-Петербург, Исаакиевская площадь, 6",1,http://www.svoboda.org/content/article/24976672.html
178,04.05.2013,Санкт-Петербург,не согласовано,,агитация,,политзеки,,другое,,два активиста задержаны во время раздачи листовок о 6 мая в метро,,ОП 1 УПП №4,"Санкт-Петербург, м. Адмиралтейская",2,ovdinfo.org/piter?page=27
179,31.05.2013,Санкт-Петербург,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31,,2,"Санкт-Петербург, м. Гостиный двор",7,"

http://vk.com/wall-32875578_16100"
180,12.06.2013,Санкт-Петербург,не согласовано,,митинг,,политзеки,,другое,,"поэт задержан за чтение стихов на ""не-митинге""",,78,"Санкт-Петербург, Марсово поле",1,"http://ovdinfo.org/express-news/2013/06/12/v-peterburge-na-ne-mitinge-oppozicii-zaderzhan-poet-pavel-arsenev, http://www.cogita.ru/grazhdanskaya-aktivnost/protestnaya-aktivnost/protest-2013/na-nemitinge-zaderzhan-poet-pavel-arsenev"
181,27.06.2013,Санкт-Петербург,не согласовано,,акция,,другое,,Другая Россия,,"активисты задержаны с плакатом ""ФМС — в Душанбе"", задержан фотограф",,78,"Санкт-Петербург, Кирочная улица, 4",3,http://www.zaks.ru/new/archive/view/111943
182,29.06.2013,Санкт-Петербург,не согласовано,,пикет,,ЛГБТ,,другое,,"""ЛГБТ-Прайд""",,"78 (14), 52 (36), 22, 76 (5), 6 [не сходится и не про все есть точные данные]","Санкт-Петербург, Марсово поле",54,http://www.ovdinfo.org/express-news/1575
183,18.07.2013,Санкт-Петербург,не согласовано,,митинг,,политзеки,,стихийная,,народный сход в поддержку Навального,,"76 (34), 52 (26), 28 (4)","Санкт-Петербург, Малая Садовая, 6",64,"http://vk.com/wall78053407_15556?reply=17118, ""http://ovdinfo.org/express-news/2013/07/19/v-sankt-peterburge-nakanune-zaderzhali-59-chelovek, http://ovdinfo.org/express-news/2013/07/18/v-sankt-peterburge-zaderzhany-32-cheloveka
"""
184,31.07.2013,Санкт-Петербург,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31,,76,"Санкт-Петербург, м. Гостиный двор",6,"http://vk.com/wall-32875578_17420, http://www.fontanka.ru/2013/07/31/142/"
185,02.08.2013,Санкт-Петербург,не согласовано,,одиночный пикет,,ЛГБТ,,другое,,одиночный пикет в поддержку ЛГБТ,,78,"Санкт-Петербург, Дворцовая площадь",1,http://www.baltinfo.ru/2013/08/02/Odinochnyi-piket-predstavitelya-LGBT-soobschestva-na-Dvortcovoi-ploschadi-v-Den-VDV-prodolzhalsya-15-sekund-370926
186,09.08.2013,Санкт-Петербург,не согласовано,,митинг,,националистическая,,стихийная,,народный сход против этнической преступности,,"45 (5), 32,10 [окончательно не ясно, сколько где]","Санкт-Петербург, м. Улица Дыбенко",24,http://vk.com/wall-32875578_18211
187,16.08.2013,Санкт-Петербург,не согласовано,,акция,,социальная,,стихийная,,перекрытие проспекта против сноса,,,"Санкт-Петербург, проспект Науки, 44",1,"http://www.zaks.ru/new/archive/view/113993, http://saint-petersburg.ru/m/319591/"
188,24.08.2013,Санкт-Петербург,не согласовано,,другое,,экология,,экологи,,"попытка демонтировать заборы, огораживающие берег озера",,121,"Ленинградская область, поселок Удальцово",14,"http://vk.com/wall2278517_2066, http://vk.com/miting_help?w=wall-32875578_18887%2Fall"
189,31.08.2013,Санкт-Петербург,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31,,76,"Санкт-Петербург, м. Гостиный двор",8,"http://www.baltinfo.ru/2013/08/31/GU-MVD-na-Strategii-31-zaderzhany-shest-chelovek-376495, ""http://ovdinfo.org/express-news/2013/08/31/v-sankt-peterburge-na-strategii-31-zaderzhany-9-chelovek
http://vk.com/miting_help?w=wall-32875578_19181%2Fall"""
190,01.09.2013,Санкт-Петербург,не согласовано,,активист,,националистическая,,другое,,Николай Бондарик задержан перед народным сходом,,30,"Санкт-Петербург, Весельная, 6",1,"http://www.rosbalt.ru/piter/2013/09/01/1170740.html, http://vk.com/miting_help?w=wall-32875578_19191%2Fall"
191,03.09.2013,Санкт-Петербург,не согласовано,,пикет,,другое,,Другая Россия,,акция против Японии,,78,"Санкт-Петербург, набережная Мойки, 29",1,"http://www.kasparov.ru/material.php?id=5225BC7AD863D, http://www.zaks.ru/new/archive/view/114679"
192,04.09.2013,Санкт-Петербург,не согласовано,,агитация,,другое,,другое,,раздача листовок против саммита G20,,28,,3,"http://www.zaks.ru/new/archive/view/114720, http://vk.com/miting_help?w=wall-32875578_19318%2Fall"
193,04.09.2013,Санкт-Петербург,не согласовано,,акция,,другое,,«Война»,,акция против закрытия Музея власти,,28,"Санкт-Петербург, Казанская площадь, 2",3,"http://www.fontanka.ru/2013/09/04/203/, http://vk.com/miting_help?w=wall-32875578_19337%2Fall"
194,05.09.2013,Санкт-Петербург,не согласовано,,активист,,антиПутин,,активист,,надпись на автомобиле «Я презираю Путина»,,31,,1,http://vk.com/miting_help?w=wall-32875578_19363%2Fall
195,05.09.2013,Санкт-Петербург,не согласовано,,пикет,,политзеки,,Левый фронт,,"плакаты «Свободу узникам 6 мая», «Нет Олимпиаде в Сочи в полицейском государстве!»",,31,"Санкт-Петербург, 8-я линия Васильевского острова, 11-13",2,"http://vk.com/miting_help?w=wall-32875578_19389%2Fall, http://vk.com/miting_help?w=wall-32875578_19384%2Fall"
196,05.09.2013,Санкт-Петербург,не согласовано,,одиночный пикет,,другое,,другое,,акция против Японии,,28,,1,"http://vk.com/miting_help?w=wall-32875578_19385%2Fall, http://www.rosbalt.ru/piter/2013/09/05/1172528.html"
197,05.09.2013,Санкт-Петербург,не согласовано,,другое,,другое,,другое,,общественный защитник задержан в суде,,28,"Санкт-Петербург, Караванная ул., 20",1,"http://vk.com/miting_help?w=wall-32875578_19453%2Fall, http://zaks.ru/new/archive/view/114779"
198,06.09.2013,Санкт-Петербург,не согласовано,,агитация,,политзеки,,другое,,раздача листовок в поддержку узников 6 мая,,78,"Санкт-Петербург, Исаакиевская площадь",3,"http://gorpiter.ru/news.php?readmore=61, http://vk.com/miting_help?w=wall-32875578_19597%2Fall"
199,21.09.2013,Санкт-Петербург,не согласовано,,митинг,,националистическая,,стихийная,,народный сход против мигрантов,,"10 (30), 24 (15), 32, 75 (15) [не сходится]","Санкт-Петербург, м. Ломоносовская",60,"http://vk.com/miting_help?w=wall-32875578_19915%2Fall, http://www.rosbalt.ru/piter/2013/09/22/1178449.html"
200,22.09.2013,Санкт-Петербург,не согласовано,,активист,,националистическая,,другое,,Николай Бондарик задержан у здания суда,,32,"Санкт-Петербург, ул. Ольги Берггольц, 12",1,"http://vk.com/miting_help?w=wall-32875578_20494%2Fall, http://www.zaks.ru/new/archive/view/115594"
201,22.09.2013,Санкт-Петербург,не согласовано,,митинг,,националистическая,,стихийная,,народный сход против мигрантов,,32,"Санкт-Петербург, м. Гостиный двор",4,http://vk.com/miting_help?w=wall-32875578_20502%2Fall
202,07.10.2013,Санкт-Петербург,согласовано,,пикет,,другое,,другое,,пикет памяти Анны Политковской; после официального окончания развернут плакат,,43,"Санкт-Петербург, Троицкая площадь",2,http://www.rosbalt.ru/piter/2013/10/07/1184760.html
203,08.10.2013,Санкт-Петербург,не согласовано,,одиночный пикет,,антиПутин,,другое,,одиночный пикет с плакатом «Путин - для нашей семьи ты чудовище»,,16,,1,http://vk.com/miting_help?w=wall-32875578_21108%2Fall
204,20.10.2013,Санкт-Петербург,согласовано,,митинг,,националистическая,,другое,,народный сход против этнопреступности (согласован Бондариком),,76,"Санкт-Петербург, Марсово поле",8,http://www.rosbalt.ru/piter/2013/10/20/1190105.html
205,31.10.2013,Санкт-Петербург,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31,,76,"Санкт-Петербург, м. Гостиный двор",6,http://www.gazeta.spb.ru/1470691-0/
206,04.11.2013,Санкт-Петербург,не согласовано,,марш,,националистическая,,стихийная,,Марш против толерантности (по инициативе Максима Калиниченко),,,"Санкт-Петербург, Лиговский проспект, 6",40,http://www.rosbalt.ru/piter/2013/11/05/1195920.html
207,04.11.2013,Санкт-Петербург,не согласовано,,акция,,националистическая,,стихийная,,танцевальный флешмоб (по инициативе Максима Калиниченко),,52,"Санкт-Петербург, Дворцовая площадь",29,http://www.rosbalt.ru/piter/2013/11/04/1195764.html
208,05.11.2013,Санкт-Петербург,не согласовано,,другое,,другое,,другое,,забастовка на заводе «Антолин»,,97,"Ленинградская обл., Всеволожский район, деревня Новосаратовка, Промзона Уткина заводь, МЛП, стр. 4",10,http://vk.com/miting_help?w=wall-32875578_23848%2Fall
209,12.12.2013,Санкт-Петербург,не согласовано,,одиночный пикет,,ЛГБТ,,другое,,"
одиночный пикет у здания Конституционного суда с плакатом «Я человек а не пропаганда»",,1,"Москва, Сенатская площадь",1,http://vk.com/miting_help?w=wall-32875578_24755%2Fall
210,24.12.2013,Санкт-Петербург,не согласовано,,одиночный пикет,,другое,,другое,,одиночный пикет в связи с конфликтом вокруг креативного пространства «Четверть»,,1,"Санкт-Петербург, переулок Пирогова, 16",1,http://vk.com/miting_help?w=wall-32875578_25001%2Fall
211,31.12.2013,Санкт-Петербург,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31,,28,"Санкт-Петербург, м. Гостиный двор",13,http://vk.com/miting_help?w=wall-32875578_25101%2Fall
212,16.02.2013,Нижний Новгород,не согласовано,,пикет,,социальная,,"Другая Россия, Левый Фронт, ""5 декабря""",,"серия одиночных пикетов в защиту школы № 15 от давления властей с участием ""Другой России"", ""Левого фронта"", Партии 5 декабря",,ОП 2 (Дзержинск),"Нижегородская область, Дзержинск, площадь Дзержинского",15,"http://ovdinfo.org/express-news/2013/02/16/v-nizhegorodskoy-oblasti-zaderzhano-15-chelovek-posle-akcii-v-podderzhku, http://lustrabazann.info/novosti/2013/02/v-nizhegorodskoj-oblasti-zaderzhano-15-chelovek-posle-akcii-v-podderzhku-shkoli.html"
213,20.03.2013,Нижний Новгород,не согласовано,,пикет,,социальная,,стихийная,,серия одиночных пикетов у здания городской Думы против строек,,ОП 5 (Нижний Новогород),"Нижегородская область, Нижний Новгород, территория Кремль, к. 5",2,"http://lustrabazann.info/novosti/2013/03/v-hode-odinochnih-piketov-v-kremle-zaderzhana-80-letnjaja-pensionerka.html, http://progorodnn.ru/newsv2/71981.html"
214,21.02.2013,Нижний Новгород,не согласовано,,активист,,активист,,активист,,"сотрудники ""Центра по противодействию экстремизму"" задержали и попытались завербовать несовершеннолетнего активиста ""Другой России"" Алексея Шарова под угрозой уголовного преследования",,ОП 5 (Нижний Новогород),,1,http://lustrabazann.info/novosti/2013/02/davlenie-na-nesovershennoletnego-storonnika-drugoj-rossii-v-nizhnem-novgorode.html
215,05.04.2013,Нижний Новгород,не согласовано,,шествие,,националистическая,,"Другая Россия, ЭПО ""Русские""",,"Участники акции ""День Русской Нации"" вывесили транспарант «Отобрать и поделить!», скандировали лозунги и раскидали листовки, попытка шествия
",,"ОП 5, ОП 7 (Нижний Новогород) [непонятно, сколько где]","Нижегородская область, Нижний Новгород, Театральная площадь",14,"http://www.ovdinfo.org/express-news/1392, ""http://www.ovdinfo.org/express-news/1393
http://lustrabazann.info/novosti/2013/04/16-aktivistov-zaderzhani-v-nizhnem-novgorode-v-den-russkoj-nacii.html
http://lustrabazann.info/novosti/2013/04/sostojalis-sudi-nad-zaderzhannimi-uchastnikami-dnja-russkoj-nacii-v-nizhnem-novgorode.html"""
216,05.04.2013,Нижний Новгород,не согласовано,,акция,,националистическая,,"Другая Россия, ЭПО ""Русские""",,,,"ОП 5, ОП 7 (Нижний Новогород) [непонятно, сколько где]","Нижегородская область, Нижний Новгород, Театральная площадь",3,"http://www.ovdinfo.org/express-news/1392, ""http://www.ovdinfo.org/express-news/1393
http://lustrabazann.info/novosti/2013/04/16-aktivistov-zaderzhani-v-nizhnem-novgorode-v-den-russkoj-nacii.html
http://lustrabazann.info/novosti/2013/04/sostojalis-sudi-nad-zaderzhannimi-uchastnikami-dnja-russkoj-nacii-v-nizhnem-novgorode.html"""
217,11.04.2013,Нижний Новгород,не согласовано,,агитация,,экология,,стихийная,,Расклейка листовок о согласованном митинге,,ОП 1 (Нижний Новгород),,2,"http://lustrabazann.info/novosti/2013/04/zaderzhan-za-rasklejku-listovok-zashhitnik-avtozavodskogo-parka.html, http://lustrabazann.info/novosti/2013/04/na-7-sutok-administrativnogo-aresta--osuzhden-organizator-soglasovannogo-mitinga.html"
218,14.04.2013,Нижний Новгород,не согласовано,,митинг,,социальная,,стихийная,,"задержание в метро, после градозащитного митинга ""Защитим Нижний!""",,ОП 5 (Нижний Новогород),,1,http://lustrabazann.info/novosti/2013/04/v-nizhnem-novgorode-proshli-sudi-nad-aktivistkoj-drugoj-rossii.html
219,09.05.2013,Нижний Новгород,не согласовано,,одиночный пикет,,другое,,"""Трудовой Нижний Новгород""",,одиночный пикет в честь Победы советского народа над фашизмом,,ОП 5 (Нижний Новогород),"Нижегородская область, Нижний Новгород, ул. Б. Покровская, 42",1,"http://lustrabazann.info/novosti/2013/05/zaderzhan-za-odinochnij-piket-i-osuzhden-k-8-sutkam-aresta-i-objazatelnim-rabotam-petr-tipakov.html, http://zeki.su/novosti/2013/5/11163251.html"
220,14.05.2013,Нижний Новгород,не согласовано,,активист,,активист,,активист,,доставлению с целью допроса,,Центр по противодействию экстремизму ГУ МВД по Нижегородской области,,4,"http://www.ovdinfo.org/express-news/1476, http://www.ovdinfo.org/express-news/1477
http://www.ovdinfo.org/express-news/1478"
221,10.07.2013,Нижний Новгород,не согласовано,,активист,,активист,,"Другая Россия, МОПД «Единство»",,"активисты и случайный пассажир автобуса задержаны на выезде из Нижнего Новгорода по пути в город Пугачев, где проходят выступления националистов, ""для проверки документов""",,ОП 6,"Нижегородская область, Нижний Новгород, улица Ларина, 30",4,"http://www.lustrabazann.info/novosti/2013/07/zaderzhani-nizhegorodskie-aktivisti-ehavshie-v-pugachev.html,"
222,19.07.2013,Нижний Новгород,не согласовано,,активист,,активист,,Другая Россия,,"активист задержан по административному делу о вывешивании баннера ""С днем предательства Родины!"" на здании областного УФСБ",,ОП 5,"Нижегородская область, Нижний Новгород, улица Евгения Никонова, 3",1,"http://www.lustrabazann.info/novosti/2013/07/kogotok-uvjaz---vsej-ptichke-propast-ili-otkrovenija-dmitrija-kapeljusha.html, http://www.lustrabazann.info/novosti/2013/07/k-pitkam-aleksandra-zajceva-prichastni-nachalniki-oblastnogo-ufsb-i-centra-e.html"
223,31.07.2013,Нижний Новгород,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31,,ОП 5,"Нижегородская область, Нижний Новгород, площадь Свободы",10,"http://ovdinfo.org/express-news/2013/08/01/v-nizhnem-novgorode-vseh-aktivistov-ostavili-v-op-5-do-utra
http://www.lustrabazann.info/novosti/2013/08/v-nizhnem-novgorode-akcija-strategii-31-zakonchilas-zaderzhanijami.html, ""http://www.lustrabazann.info/novosti/2013/08/-nizhegorodskih-aktivistov-arestovali-za-miting-strategii-31.html
http://www.lustrabazann.info/novosti/2013/08/sudi-nad-zaderzhannimi-uchastnikami-mitinga-strategija--31-protiv-o-sorokina.html"""
224,24.08.2013,Нижний Новгород,не согласовано,,другое,,националистическая,,"""Русская пробежка""",,"""русская пробежка""",,ОМВД по Балахнинскому району,"Нижегородская область, Балахны",12,http://www.lustrabazann.info/novosti/2013/08/zaderzhani-uchastniki-russkoj-probezhki.html
225,31.10.2013,Нижний Новгород,не согласовано,,митинг,,Стратегия-31,,Стратегия-31,,Стратегия-31 в Нижнем Новгороде,,ОП 5,"Нижегородская область, Нижний Новгород, площадь Свободы",3,"http://ovdinfo.org/express-news/2013/11/02/apellyaciya-po-delu-staroverova-otklonena-pomeshchen-v-ivs-pri-op-2, http://ovdinfo.org/express-news/2013/11/02/rezultaty-sudov-v-nizhnem-pyat-sutok-staroverovu-ostalnye-na-svobode, http://ovdinfo.org/express-news/2013/10/31/zaderzhannye-v-nizhnem-novgorode-ostayutsya-v-policii-do-utra, http://ovdinfo.org/express-news/2013/10/31/v-nizhnem-novgorode-na-strategii-31-zaderzhany-staroverov-myaskovskiy-i"
226,14.12.2013,Нижний Новгород,не согласовано,,активист,,активист,,Другая Россия,,"Около офиса нижегородского отделения Другой России было задержано трое активистов, полицейские отказались на месте объяснить причину задержания. В то же время была заблокирована квартира лидера нижегородского отделения Юрия Строверова. Вечером после освобождения активистов и снятия блокады квартиры Староверова, события получили продолжение.",,ОП 5,"Нижегородская область, Нижний Новгород, ул. Новая, 48",3,"http://ovdinfo.org/express-news/2013/12/15/nizhegorodskie-aktivisty-vyshli-na-svobodu, http://ovdinfo.org/express-news/2013/12/14/zaycevy-snova-zaderzhany-v-nizhnem-novgorode, http://ovdinfo.org/express-news/2013/12/14/nizhegorodskie-aktivisty-na-svobode, http://ovdinfo.org/express-news/2013/12/14/zaderzhannym-aktivistam-v-nizhnem-novgorode-do-sih-por-ne-predyavili, http://ovdinfo.org/express-news/2013/12/14/troe-aktivistov-zaderzhany-bez-obyasneniya-prichin-v-nizhnem-novgorode"
227,12.10.2013,Нижний Новгород,не согласовано,,активист,,активист,,Другая Россия,,"Судебные приставы задержали руководителя Арзамасской ячейки ""Другой России"" Дмитрия Исусова, якобы, не заплатившего штраф за участие в акции ""Стратегии-31",,,"Нижегородская область, Арзамас",1,http://ovdinfo.org/node/7818
228,12.12.2013,Нижний Новгород,не согласовано,,активист,,активист,,Другая Россия,,"Задержан руководитель арзамасского отделения ""Другой России"", якобы участвовавший в драке",,"Арзамасская городская прокуратура; Управление внутренних дел г. Арзамаса, дежурная часть","Нижегородская область, Арзамас, ул. Коммунистов, 6",1,http://ovdinfo.org/node/7828
229,15.12.2013,Нижний Новгород,не согласовано,,агитация,,другое,,Другая Россия,,"Агитация активистов ""Другой России"" в Арзамасе",,,"Нижегородская область, Арзамас",2,http://ovdinfo.org/node/7855
230,30.12.2013,Нижний Новгород,не согласовано,,активист,,активист,,Другая Россия,,Доставление активиста в суд по делу о неуплате штрафа,,ОП 4,"Нижегородская область, Нижний Новгород, ул. Новая, 48",1,http://ovdinfo.org/node/7924
231,22.06.2013,Воронеж,согласовано,,митинг,,экология,,«В защиту Хопра» ,,задержания после проведения согласованного митинга и происшествия на Еланском месторождении в Новохоперском районе,,ОМВД по Новохоперскому району,"Воронежская область, Новохоперский район",25,"http://savekhoper.ru/?p=2644, http://savekhoper.ru/?p=2678"
232,23.06.2013,Воронеж,не согласовано,,активист,,активист,,активист,,расследование поджога буровых в Новохоперском районе,,ОМВД по Новохоперскому району,"Воронежская область, Новохоперский район",3,http://savekhoper.ru/?p=2644
233,23.05.2013,Воронеж,не согласовано,,пикет,,экология,,«В защиту Хопра» ,,серия одиночных пикетов против добычи никеля в Прихоперье в Воронеже,,,"Воронежская область, Воронеж, Ленинский проспект, 2",3,http://savekhoper.ru/?page_id=2480
234,01.05.2013,Воронеж,согласовано,,митинг,,другое,,другое,,"участница первомайской демонстрации скандировала «Нет никелю на Хопре», полиция приписала ей также выкрики «Нет правительству воров» в Воронеже",,,"Воронежская область, Воронеж, проспект Революции, 23",1,"http://savekhoper.ru/?page_id=2480, http://www.moe-online.ru/news/view/265525.html"
235,17.04.2013,Воронеж,не согласовано,,активист,,активист,,«В защиту Хопра»,,доставление свидетеля на допрос в Воронеже,,,"Воронежская область, Новохоперский район, Новохоперск",1,http://article20.org/news/aktivista-nelli-rudchenko-dvizhenie-v-zashchitu-khopra-dosta#.Ue_AdNdDt0w