Id,date,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,place,number_of_detentions,links
1,04.12.2011,не согласовано,Unauthorised,митинг,Rally,За честные выборы,For fair elections,Оркгомитет 23 августа,The 23rd of August Organizing Committee,"Сход ""Народ против незаконных выборов!""","Gathering ""People against illegal elections!""","триумальная, площадь революции",198,"оценка овд-инфо, ССЫЛКИ, http://namarsh-ru.livejournal.com/6144795.html"
2,05.12.2011,согласовано,Authorised,митинг,Rally,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Митинг по поводу массовых фальсификаций на выборах 4 декабря 2011 года ,"Rally against mass election fraud December 4, 2011",чистые пруды,300,http://ovdinfo.org/article/sergei-udaltsov-politicheskii-zaklyuchennyi
3,06.12.2011,не согласовано,Unauthorised,митинг,Rally,За честные выборы,For fair elections,стихийная,Spontaneous,"Протест против массовых фальсификаций на выборах 4 декабря 2011 года (""Путин, уходи!"")","Protest against mass fraud in 4 December election (""Putin, go away!"")",триумфальная площадь,600,http://ovdinfo.org/article/sergei-udaltsov-politicheskii-zaklyuchennyi
4,07.12.2011,не согласовано,Unauthorised,митинг,Rally,За честные выборы,For fair elections,стихийная,Spontaneous,"Протест против массовых фальсификаций на выборах 4 декабря 2011 года (""Путин, уходи!"")","Protest against mass fraud in 4 December election (""Putin, go away!"")",триумфальная площадь,70,http://lenta.ru/news/2011/12/08/figures/
5,14.12.2011,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,стихийная,Spontaneous,Одиночные пикеты в поддержку арестованных 4 декабря,Pickets in support of 4 December arrestees,Симферопольский бульвар,3,http://ovdinfo.org/express-news/19
6,18.12.2011,согласовано,Authorised,митинг,Rally,За честные выборы,For fair elections,другое,Other,Митинг Яблоко,Yabloko Rally,Болотная,2,http://ovdinfo.org/express-news/20
7,20.12.2011,не согласовано,Unauthorised,активист,Activist,другое,Other,другое,Other,Задержание активистов,Activists arrested,Дом студента на Кравченко,1,http://ovdinfo.org/express-news/26
8,21.12.2011,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,Другая Россия,Other Russia,"Акция ""Не допустим самозванцев в парламент!""","Action ""Prevent impostors in parliament!""",Госдума,27,"http://ovdinfo.org/express-news/29, http://ovdinfo.org/express-news/30, http://ovdinfo.org/express-news/31, http://ovdinfo.org/express-news/33"
13,23.12.2011,не согласовано,Unauthorised,активист,Activist,другое,Other,другое,Other,Задержание активистов,Activists arrested,Павел Чиков,1,http://ovdinfo.org/express-news/44
11,23.12.2011,не согласовано,Unauthorised,агитация,Agitation,За честные выборы,For fair elections,другое,Other,Задержание активистов,Activists arrested,МГУ,1,http://ovdinfo.org/express-news/41
12,23.12.2011,не согласовано,Unauthorised,агитация,Agitation,За честные выборы,For fair elections,другое,Other,Расклейка листовок,Posting flyers,м Воробьевы Горы,2,http://ovdinfo.org/express-news/41
9,23.12.2011,не согласовано,Unauthorised,агитация,Agitation,За честные выборы,For fair elections,Мастерская протестных действий,The Protest Actions Workshop,задержание активистов,Activists arrested,Мастерская,2,http://ovdinfo.org/express-news/46
10,23.12.2011,не согласовано,Unauthorised,агитация,Agitation,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,"Флеш-моб в метро ""У меня украли голос""","Flashmob in the subway, ""I was robbed of my voice""",станции метро,30,"http://ovdinfo.org/express-news/45, http://ovdinfo.org/express-news/47"
14,24.12.2011,согласовано,Authorised,митинг,Rally,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,Задержаны на подходе к митингу,Arrested on their way to the rally,Сахарова,10,http://ovdinfo.org/express-news/49
15,25.12.2011,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Суд на Удальцовым,Court for Udaltsov,Новая Площадь,3,http://ovdinfo.org/express-news/57
16,31.12.2011,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная,62,http://ovdinfo.org/express-news/70
17,10.01.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,Другая Россия,Other Russia,"Одиночные пикеты ""Свободу Таисии Осиповой!""","Pickets ""Freedom to Taisia ​​Osipova!""",Пикеты у ст.метрополитена,4,http://ovdinfo.org/express-news/75
18,14.01.2012,согласовано,Authorised,митинг,Rally,За честные выборы,For fair elections,Яблоко,Yabloko,Список Чурова — митинг партии Яблоко,Churov list - Yabloko party rally,Чистопрудный бульвар,3,http://ovdinfo.org/express-news/77
19,18.01.2012,не согласовано,Unauthorised,пикет,Picket,другое,Other,Пиратская партия,Pirate Paty,SOPA — пикет Пиратской партии,SOPA - Pirate Party rally,посольство сша,2,http://ovdinfo.org/express-news/78
20,19.01.2012,согласовано,Authorised,митинг,Rally,антифа,Antifa,Комитет 19 января,The 19 January Committee,Марш и митинг в память убитых Маркелова и Бабуровой,March and rally in memory of Markelov and Baburova,Пушкинская,1,http://ovdinfo.org/express-news/80
21,20.01.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,Pussy Riot,Pussy Riot,Pussy Riot (концерт на Лобном месте),Pussy Riot (performance at Lobnoye Mesto),Красная площадь,8,http://ovdinfo.org/express-news/81
22,24.01.2012,не согласовано,Unauthorised,агитация,Agitation,За честные выборы,For fair elections,Росагит,Rosagit,Раздача палаток РосАгитом,"Distribution of tents, RosAgit",Пушкинская,1,http://ovdinfo.org/express-news/83
23,31.01.2012,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная,48,http://ovdinfo.org/express-news/86
24,02.02.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,За честные выборы,For fair elections,стихийная,Spontaneous,Информационный прорыв — пикеты у метро,Information breakthrough - pickets at the Metro,метро,1,http://ovdinfo.org/express-news/90
25,07.02.2012,не согласовано,Unauthorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,Остановим диктатуру! ,Stop dictatorship!,ЦИК,15,http://ovdinfo.org/express-news/91
26,13.02.2012,не согласовано,Unauthorised,акция,Direct action,другое,Other,Femen,Femen,Анти-газпромовская акция Femen,Anti-Gazprom action by Femen,Газпром ,1,http://ovdinfo.org/express-news/94
27,14.02.2012,не согласовано,Unauthorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,Остановим диктатуру! ,Stop dictatorship!,ЦИК,23,"http://ovdinfo.org/express-news/99, http://ovdinfo.org/express-news/100"
28,18.02.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,Живая цепь свободных ,Human chain of the free,Тверская,13,http://ovdinfo.org/express-news/103
29,19.02.2012,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,Москва сжимает белое кольцо ,White Ring,Крымский вал,3,"http://ovdinfo.org/express-news/110, http://ovdinfo.org/express-news/111"
30,21.02.2012,не согласовано,Unauthorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,Остановим диктатуру! ,Stop dictatorship!,ЦИК,25,http://ovdinfo.org/express-news/112
31,23.02.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,Солидарность,Solidarity Movement,Путин. Итоги  - раздача брошюр,Putin. Results - distribution of brochures,"Спортивная, Лужники",18,http://ovdinfo.org/express-news/122
32,25.02.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет по голодающей Стецуре,Picket in support of hunger striker Stetsura,Спецприемник,5,http://ovdinfo.org/express-news/125
33,26.02.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,стихийная,Spontaneous,Одиночный пикет,One-person picket,Красная площадь,2,http://ovdinfo.org/express-news/127
34,28.02.2012,не согласовано,Unauthorised,пикет,Picket,антиПутин,anti-Putin,Другая Россия,Other Russia,Остановим диктатуру! ,Stop dictatorship!,ЦИК,16,http://ovdinfo.org/express-news/132
35,29.02.2012,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,Росагит,Rosagit,Раздача палаток РосАгитом,"Distribution of tents, RosAgit",Пушкинская,4,http://ovdinfo.org/express-news/135
36,03.03.2012,не согласовано,Unauthorised,агитация,Agitation,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Агитационная акция активистов Солидарности,"Promotional action, Solidarity movement",Метро комсомольская,4,http://ovdinfo.org/express-news/136
37,05.03.2012,согласовано,Authorised,митинг,Rally,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,"Митинг ""Россия без Путина""","Rally ""Russia without Putin""","Лубянка, Пушкинская",258,http://ovdinfo.org/article/5-marta-spisok-zaderzhannykh
38,06.03.2012,не согласовано,Unauthorised,активист,Activist,За честные выборы,For fair elections,другое,Other,Задержание активистов,Activists arrested,м.Охотный ряд,1,http://ovdinfo.org/express-news/187
39,06.03.2012,не согласовано,Unauthorised,другое,Other,За честные выборы,For fair elections,стихийная,Spontaneous,Стихийный протест,Spontaneous protest,Пушкинская,12,http://ovdinfo.org/express-news/186
40,08.03.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,7,http://ovdinfo.org/express-news/194
41,08.03.2012,не согласовано,Unauthorised,другое,Other,За честные выборы,For fair elections,стихийная,Spontaneous,Стихийный протест,Spontaneous protest,пушкинская,20,http://ovdinfo.org/express-news/196
42,10.03.2012,не согласовано,Unauthorised,марш,Marche,другое,Other,Националисты,Nationalists,"Марш националистов, старый Арбат","Nationalists' march, Old Arbat",Киевская,25,http://ovdinfo.org/express-news/199
44,10.03.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,другое,Other,Яблоко,Yabloko,Пикет активиста партии Яблоко,Yabloko party activist;s picket,Тверская,1,http://ovdinfo.org/express-news/205
43,10.03.2012,согласовано,Authorised,митинг,Rally,За честные выборы,For fair elections,Оргкомитет протестных действий,Protest Actions Organizing Committee,"Задержание активистов после митинга ""За честные выборы""","Activists arrested after the rally ""For Fair Elections""",Новый арбат,5,http://ovdinfo.org/express-news/202
45,10.03.2012,не согласовано,Unauthorised,другое,Other,За честные выборы,For fair elections,стихийная,Spontaneous,Задержаны на подходе,Detained on the way,Пушкинская площадь,3,http://ovdinfo.org/express-news/203
46,13.03.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,Задержание активистов. АрхНадзор,Architectural Watch activists arrested,Козихинский,3,http://ovdinfo.org/express-news/209
47,14.03.2012,не согласовано,Unauthorised,пикет,Picket,Pussy Riot,Pussy Riot,стихийная,Spontaneous,Пикет Pussy Riot,Pussy Riot Picket ,мосгоррайонный суд,1,http://ovdinfo.org/express-news/210
48,14.03.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,Задержание активистов. АрхНадзор,Architectural Watch activists arrested,Козихинский,4,http://ovdinfo.org/express-news/211
49,17.03.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Экологи,Environmentalists,Одиночные пикеты в поддержку Сурена Газаряна и Евгения Витишко,Pickets in support of Suren Ghazaryan and Eugene Vitishko,Площадь Революции,28,http://ovdinfo.org/express-news/218
50,18.03.2012,не согласовано,Unauthorised,пикет,Picket,другое,Other,стихийная,Spontaneous,Пикет против наглой лжи НТВ,Picket against NTV's lies,Останкино,95,http://ovdinfo.org/article/zaderzhannye-na-stikhiinom-pikete-protiv-nagloi-lzhi-telekanala-ntv
51,18.03.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,13,http://ovdinfo.org/express-news/240
52,20.03.2012,не согласовано,Unauthorised,пикет,Picket,другое,Other,стихийная,Spontaneous,Пикет НТВ,Picket NTV,Останкино,1,http://ovdinfo.org/express-news/257
53,21.03.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Пикет против займов под огромные проценты, рекламирующихся через отделения ""Почты России""",Rally against huge interest loans advertised by the Russian Post Service,Варшавское,5,http://ovdinfo.org/express-news/261
54,23.03.2012,не согласовано,Unauthorised,другое,Other,политзеки,Political prisoners,другое,Other,Судебное слушание по делу Алексея Козлова,A court hearing on the case of Alexei Kozlov,пресненский районный суд,2,http://ovdinfo.org/express-news/263
55,24.03.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет по Магнисткому,Picket on Magnistky,МВД-Калужская,2,http://ovdinfo.org/express-news/265
56,25.03.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,33,"http://ovdinfo.org/express-news/266, http://ovdinfo.org/express-news/267"
57,31.03.2012,не согласовано,Unauthorised,митинг,Rally,другое,Other,Левый фронт,The Left Front,Встреча с Удальцовым,Meeting with Udaltsov,пушкинская,2,http://ovdinfo.org/express-news/271
58,31.03.2012,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная,64,http://ovdinfo.org/article/zaderzhannye-31-marta-na-triumfalnoi-spisok
59,01.04.2012,не согласовано,Unauthorised,акция,Direct action,другое,Other,Яблоко,Yabloko,Яблоко против Призыва,Yabloko against conscription,Старый арбат,6,http://www.yabloko.ru/regnews/Moscow/2012/04/01_0
60,01.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,89,http://ovdinfo.org/article/zaderzhaniya-1-aprelya-na-krasnoi-ploshchadi
61,06.04.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,Левый фронт,The Left Front,Одиночные пикеты с призывом к властям выполнять обязательства по капремонту домов,One-person pickets calling on authorities to fulfill obligations on capital repairs of housing,Госдума,8,http://ovdinfo.org/express-news/328
63,08.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,3,http://ovdinfo.org/express-news/332
62,08.04.2012,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,стихийная,Spontaneous,Белое Метро,White Subway,Площадь Революции,4,http://ovdinfo.org/express-news/334
64,10.04.2012,не согласовано,Unauthorised,пикет,Picket,За честные выборы,For fair elections,стихийная,Spontaneous,Пикетирование представительства Астрахани в поддержку Олега Шеина,Astrakhan representation picketing in support of Oleg Shein,"Проспект Мира, д. 3, стр. 1",1,http://ovdinfo.org/express-news/339
65,10.04.2012,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Одиночные пикеты работников подмосковного завода ""Камов"" ""Время Орды закончилось""",One-person pickets by Kamov plant workers near Moscow,Красная площадь,6,http://ovdinfo.org/express-news/340
66,11.04.2012,не согласовано,Unauthorised,акция,Direct action,За честные выборы,For fair elections,стихийная,Spontaneous,Белая Дума,White Duma,Госдума,16,"http://ovdinfo.org/express-news/342, http://ovdinfo.org/express-news/343, http://ovdinfo.org/express-news/344"
67,15.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,3,http://ovdinfo.org/express-news/348
68,17.04.2012,не согласовано,Unauthorised,акция,Direct action,экология,Environmental,Экологи,Environmentalists,Гринпис,Greenpeace,"отель ""Ренессанс Монарх""",23,http://ovdinfo.org/express-news/350
69,19.04.2012,не согласовано,Unauthorised,пикет,Picket,Pussy Riot,Pussy Riot,стихийная,Spontaneous,Фестиваль Pussy Riot,Festival Pussy Riot,Таганский районный суд,27,http://ovdinfo.org/article/zaderzhaniya-na-aktsii-v-podderzhku-pussy-riot-u-taganskogo-suda
70,19.04.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,другое,Other,Фотопрогулка по Тверской ,Photo-stroll along the Tverskaya,Тверская,7,http://ovdinfo.org/express-news/366
71,21.04.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,"Задержания участников ""Народного схода защитников Цаговского леса""","Arrests of participants of the ""People's gathering of the Tsagovsky forest defenders""",Жуковский,7,http://ovdinfo.org/express-news/374
72,22.04.2012,не согласовано,Unauthorised,прогулка\оккупай,Stroll/Occupy,За честные выборы,For fair elections,Солидарность,Solidarity Movement,Прогулки с белыми лентами,Stroll with white ribbons,Красная площадь,5,"http://ovdinfo.org/express-news/378, http://ovdinfo.org/express-news/381, http://ovdinfo.org/express-news/380"
73,22.04.2012,не согласовано,Unauthorised,эколагерь,Eco-camp,экология,Environmental,Экологи,Environmentalists,Защита Цаговского леса ,Tsagovsky forest defence,Жуковский,1,http://ovdinfo.org/express-news/384
74,29.04.2012,не согласовано,Unauthorised,акция,Direct action,Pussy Riot,Pussy Riot,другое,Other,В защиту Pussy Riot,Pussy Riot solidarity,ХХС,3,http://ovdinfo.org/express-news/388
